35,5,5
49,9,4
23,10,3
18,3,4
26,10,4
24,2,3
14,8,3
21,10,5
25,3,3
38,9,3
11,4,4
10,11,3
23,5,3
9,7,3
32,6,3
17,2,3
15,2,3
32,10,3
14,3,2
18,4,2
20,5,3
21,9,3
21,6,3
7,1,1
23,3,2
10,5,5
19,8,3
12,4,3
18,5,1
19,7,2
20,10,2
15,3,3
12,2,2
3,3,4
9,3,2
10,8,2
14,0,3
7,1,2
18,2,1
10,3,1
6,1,2
18,5,1
13,3,1
9,2,1
11,3,2
15,1,2
5,5,4
9,2,2
11,1,2
22,2,1
10,11,2
16,3,3
2,1,1
10,3,1
8,3,3
13,3,1
8,0,3
21,7,1
9,3,2
19,1,2
11,5,2
7,1,2
11,0,2
11,3,1
10,3,2
13,1,1
14,4,1
3,2,1
11,3,2
14,4,2
8,5,1
15,4,1
9,1,1
13,7,2
6,3,1
4,1,3
9,2,2
8,2,3
10,3,2
14,1,1
8,1,1
11,0,2
2,1,2
5,7,2
13,2,1
13,6,1
8,5,2
8,1,1
8,3,2
18,4,1
10,2,2
10,2,1
10,6,2
10,3,1
2,0,3
17,1,1
5,1,3
6,0,1
2,1,3
5,1,1
1,4,2
1,5,2
11,2,2
6,1,2
2,1,3
11,1,2
10,3,1
4,1,2
9,1,2
26,3,1
7,3,1
9,7,3
4,3,1
8,2,1
3,0,1
7,4,3
8,1,2
11,2,1
11,2,2
3,4,2
3,1,2
6,2,2
3,2,1
3,1,2
3,3,2
4,1,1
12,1,1
13,2,1
6,5,1
6,3,1
12,1,1
4,2,2
12,3,2
4,0,1
8,4,1
10,3,1
6,2,1
8,2,1
3,1,1
7,1,2
7,3,2
4,1,3
8,2,2
4,1,2
8,2,1
2,0,2
11,1,2
6,4,2
12,3,2
1,0,1
9,1,1
6,0,1
2,5,1
6,2,1
2,2,1
10,1,2
6,3,1
6,1,1
14,3,1
2,0,1
2,2,2
2,2,1
0,4,2
0,1,1
1,0,2
1,1,2
4,0,2
3,1,2
4,3,1
5,0,2
2,4,2
4,2,1
1,1,1
9,1,1
6,1,1
4,3,1
6,2,1
6,4,1
3,0,2
3,0,1
4,1,1
4,2,1
4,6,1
1,2,1
2,1,1
2,2,1
2,0,1
6,1,1
3,2,1
1,0,3
8,0,1
4,5,2
2,1,1
3,1,1
